id,requirement
125101147,"Сильные аналитические навыки, внимательность к деталям. Умение структурировать информацию и находить закономерности. Логическое мышление, способность связывать показатели с бизнес-процессами. "
124963529,"...четко излагать мысли, обосновывать гипотезы. Знание английского языка не ниже уровня B1. Подготовка структурированных презентаций на основе проанализированных <highlighttext>данных</highlighttext>."
124703479,"Знание Excel, Power Point, Word на уровне продвинутого пользователя. Способность анализировать большие объемы <highlighttext>данных</highlighttext> и систематизировать информацию. Умение работать с..."
125150497,"Умение структурировать полученную информацию и четко излагать свои мысли. Общее понимание концепций баз <highlighttext>данных</highlighttext>, общих принципов проектирования программного обеспечения. "
125018029,"Опыт проработки шаблонов документов (docx/html) и маппинга <highlighttext>данных</highlighttext> → печатные формы. Практика с Jira/Confluence, системами диаграмм (draw\.io, PlantUML..."
121091720,"...научные или статистические вычисления (Python, R), SQL и экосистема больших <highlighttext>данных</highlighttext> (Hadoop, Azure), инструменты бизнес-аналитики (KNIME, Power BI, Tableau..."
124454301,"Уверенный опыт анализа <highlighttext>данных</highlighttext> и работы с большими объемами информации. Отличное знание MS Excel (сводные таблицы, графики, формулы, ВПР). "
125018026,"Базовый SQL, Excel/Google Sheets; понимание ETL/<highlighttext>данных</highlighttext> в реляционных БД. Опыт OCR/парсинга документов (doc/pdf) и извлечения сущностей..."
123695634,"...объемами <highlighttext>данных</highlighttext>, знание основ статистики. Аналитическое мышление: Способность видеть закономерности, делать выводы и принимать обоснованные решения на основе анализа <highlighttext>данных</highlighttext>. "
124607627,Опыт работы системным аналитиком или на аналогичной позиции от 3 лет. Опыт руководства небольшой командой будет преимуществом. Умение работать с...
125038419,Уверенные знания финансов. Умение читать и анализировать управленческую отчётность. Опыт работы экономическим/финансовым аналитиком от 3 лет. Знание SQL и...
